,col1,col2
0,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_0.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label0.tif
1,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1.tif
2,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_10.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label10.tif
3,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1001.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1001.tif
4,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1002.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1002.tif
5,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1003.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1003.tif
6,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1004.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1004.tif
7,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1005.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1005.tif
8,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1006.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1006.tif
9,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1007.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1007.tif
10,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1008.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1008.tif
11,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_101.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label101.tif
12,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1010.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1010.tif
13,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1011.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1011.tif
14,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1013.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1013.tif
15,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1014.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1014.tif
16,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1015.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1015.tif
17,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1016.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1016.tif
18,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1017.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1017.tif
19,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1018.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1018.tif
20,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1019.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1019.tif
21,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_102.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label102.tif
22,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1021.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1021.tif
23,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1022.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1022.tif
24,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1024.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1024.tif
25,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1025.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1025.tif
26,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1026.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1026.tif
27,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1027.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1027.tif
28,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1028.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1028.tif
29,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1029.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1029.tif
30,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_103.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label103.tif
31,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1030.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1030.tif
32,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1031.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1031.tif
33,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1032.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1032.tif
34,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/images/sentinel2_1033.tif,/home/hamtech/Desktop/2T/home/sedreh/seg/data/split/train/masks/label1033.tif
